,title,genres,combined_features,index
446,Revolver Rani,Action|Comedy|Crime,   Revolver   Rani Action   Comedy   Crime  ,446
447,Shaadi Ke Side Effects,Comedy|Romance,   Shaadi   Ke   Side   Effects Comedy   Romance  ,447
448,Ya Rab,Drama,   Ya   Rab Drama  ,448
449,Jackpot,Comedy|Thriller,   Jackpot Comedy   Thriller  ,449
450,Titoo MBA,Comedy|Romance,   Titoo   M B A Comedy   Romance  ,450
451,Calapor,Drama,   Calapor Drama  ,451
452,Queen,Comedy|Drama,   Queen Comedy   Drama  ,452
453,Chhota Bheem and the Throne of Bali,Animation,   Chhota   Bheem  and  the   Throne  of   Bali Animation  ,453
454,Heartless,Drama|Family|Romance,   Heartless Drama   Family   Romance  ,454
455,Rahasya,Mystery|Thriller,   Rahasya Mystery   Thriller  ,455
456,Jia aur Jia,Drama,   Jia  aur   Jia Drama  ,456
457,What the Fish,Adventure|Comedy|Drama,   What  the   Fish Adventure   Comedy   Drama  ,457
458,Bobby Jasoos,Comedy|Drama|Thriller,   Bobby   Jasoos Comedy   Drama   Thriller  ,458
459,Angry Indian Goddesses,Comedy|Drama,   Angry   Indian   Goddesses Comedy   Drama  ,459
460,Children of War,Drama|History|War,   Children  of   War Drama   History   War  ,460
461,Kill Dil,Action|Drama|Romance,   Kill   Dil Action   Drama   Romance  ,461
462,Yaariyan,Drama|Romance,   Yaariyan Drama   Romance  ,462
463,Haider,Action|Crime|Drama,   Haider Action   Crime   Drama  ,463
464,Tevar,Action|Drama|Romance,   Tevar Action   Drama   Romance  ,464
465,Invitation of Love,Comedy|Drama|Romance,   Invitation  of   Love Comedy   Drama   Romance  ,465
466,Raees,Action|Crime|Drama,   Raees Action   Crime   Drama  ,466
467,Rocky Handsome,Action|Thriller,   Rocky   Handsome Action   Thriller  ,467
468,Bangistan,Comedy|Drama,   Bangistan Comedy   Drama  ,468
469,Babloo Happy Hai,Comedy|Drama|Romance,   Babloo   Happy   Hai Comedy   Drama   Romance  ,469
470,Mastram,Biography|Drama,   Mastram Biography   Drama  ,470
471,Rakhtbeej,Thriller,   Rakhtbeej Thriller  ,471
472,Detective Byomkesh Bakshy!,Action|Mystery|Thriller,   Detective   Byomkesh   Bakshy   Action   Mystery   Thriller  ,472
473,Manjhi: The Mountain Man,Adventure|Biography|Drama,   Manjhi   The   Mountain   Man Adventure   Biography   Drama  ,473
474,Darr @ the Mall,Horror|Thriller,   Darr  the   Mall Horror   Thriller  ,474
475,Jugni,Drama,   Jugni Drama  ,475
476,Karle Pyaar Karle,Action|Romance,   Karle   Pyaar   Karle Action   Romance  ,476
477,Phantom,Action|Drama|Thriller,   Phantom Action   Drama   Thriller  ,477
478,Kaun Kitney Paani Mein,Comedy|Drama|Family,   Kaun   Kitney   Paani   Mein Comedy   Drama   Family  ,478
479,Anuradha,Drama,   Anuradha Drama  ,479
480,O Teri,Comedy|Drama,   O   Teri Comedy   Drama  ,480
481,Hamari Adhuri Kahani,Drama|Romance,   Hamari   Adhuri   Kahani Drama   Romance  ,481
482,Bewakoofiyaan,Comedy|Drama|Romance,   Bewakoofiyaan Comedy   Drama   Romance  ,482
483,Raja Natwarlal,Crime|Thriller,   Raja   Natwarlal Crime   Thriller  ,483
484,Mardaani,Action|Crime|Drama,   Mardaani Action   Crime   Drama  ,484
485,Fan,Action|Drama|Thriller,   Fan Action   Drama   Thriller  ,485
486,Dum Laga Ke Haisha,Comedy|Drama|Romance,   Dum   Laga   Ke   Haisha Comedy   Drama   Romance  ,486
487,Hawaa Hawaai,Drama|Family|Sport,   Hawaa   Hawaai Drama   Family   Sport  ,487
488,Youngistaan,Drama,   Youngistaan Drama  ,488
489,Yeh Hai Bakrapur,Comedy|Drama,   Yeh   Hai   Bakrapur Comedy   Drama  ,489
490,Gang of Ghosts,Comedy|Horror,   Gang  of   Ghosts Comedy   Horror  ,490
491,Bhoothnath Returns,Comedy|Drama|Fantasy,   Bhoothnath   Returns Comedy   Drama   Fantasy  ,491
492,Dishkiyaoon,Action|Thriller,   Dishkiyaoon Action   Thriller  ,492
493,All Is Well,Adventure|Comedy|Drama,   All   Is   Well Adventure   Comedy   Drama  ,493
494,Khoobsurat,Comedy|Romance,   Khoobsurat Comedy   Romance  ,494
495,Karar: The Deal,Thriller,   Karar   The   Deal Thriller  ,495
496,Kahin Hai Mera Pyar,Drama|Musical|Romance,   Kahin   Hai   Mera   Pyar Drama   Musical   Romance  ,496
497,Global Baba,Thriller,   Global   Baba Thriller  ,497
498,Prem Ratan Dhan Payo,Action|Drama|Musical,   Prem   Ratan   Dhan   Payo Action   Drama   Musical  ,498
499,Bank Chor,Action|Comedy|Thriller,   Bank   Chor Action   Comedy   Thriller  ,499
500,Ankhon Dekhi,Comedy|Drama,   Ankhon   Dekhi Comedy   Drama  ,500
501,Bhaag Johnny,Action|Fantasy|Thriller,   Bhaag   Johnny Action   Fantasy   Thriller  ,501
502,Hate Story 2,Drama|Thriller,   Hate   Story  2 Drama   Thriller  ,502
503,Creature,Action|Horror|Sci-Fi,   Creature Action   Horror   Sci   Fi  ,503
504,Samrat & Co.,Mystery|Thriller,   Samrat   Co   Mystery   Thriller  ,504
505,Koyelaanchal,Action|Drama,   Koyelaanchal Action   Drama  ,505
506,The Xpose,Thriller,   The   Xpose Thriller  ,506
507,Coffee Bloom,Drama,   Coffee   Bloom Drama  ,507
508,Dekh Tamasha Dekh,Comedy,   Dekh   Tamasha   Dekh Comedy  ,508
509,City of Revenge,Action|Crime|Drama,   City  of   Revenge Action   Crime   Drama  ,509
510,The Bride of Humpty Sharma,Comedy|Drama|Romance,   The   Bride  of   Humpty   Sharma Comedy   Drama   Romance  ,510
511,Any Body Can Dance 2,Biography|Drama|Music,   Any   Body   Can   Dance  2 Biography   Drama   Music  ,511
512,Kapow,Action|Adventure|Comedy,   Kapow Action   Adventure   Comedy  ,512
513,Purani Jeans,Drama,   Purani   Jeans Drama  ,513
514,Fugly,Drama|Thriller,   Fugly Drama   Thriller  ,514
515,Once Upon a Time in Bihar,Thriller,   Once   Upon  a   Time  in   Bihar Thriller  ,515
516,Singh Is Bliing,Action|Comedy,   Singh   Is   Bliing Action   Comedy  ,516
517,CityLights,Drama|Thriller,   City Lights Drama   Thriller  ,517
518,Lekar Hum Deewana Dil,Comedy|Romance,   Lekar   Hum   Deewana   Dil Comedy   Romance  ,518
519,Court,Drama,   Court Drama  ,519
520,3 AM: A Paranormal Experience,Horror|Romance,  3   A M   A   Paranormal   Experience Horror   Romance  ,520
521,Mastizaade,Comedy,   Mastizaade Comedy  ,521
522,Bajirao Mastani,Action|Drama|History,   Bajirao   Mastani Action   Drama   History  ,522
523,NH10,Action|Crime|Drama,   N H10 Action   Crime   Drama  ,523
524,Wake Up India,Drama,   Wake   Up   India Drama  ,524
525,Piku,Comedy|Drama,   Piku Comedy   Drama  ,525
526,Shivaay,Action|Drama|Thriller,   Shivaay Action   Drama   Thriller  ,526
527,Pizza,Horror,   Pizza Horror  ,527
528,ROAR: Tigers of the Sundarbans,Action|Adventure|Sci-Fi,   R O A R   Tigers  of  the   Sundarbans Action   Adventure   Sci   Fi  ,528
529,Main Hoon Rajinikanth,Comedy,   Main   Hoon   Rajinikanth Comedy  ,529
530,Brothers,Action|Drama|Sport,   Brothers Action   Drama   Sport  ,530
531,M.A.D: Mad About Dance,Drama|Musical,   M   A   D   Mad   About   Dance Drama   Musical  ,531
532,Amit Sahni Ki List,Comedy|Romance,   Amit   Sahni   Ki   List Comedy   Romance  ,532
533,Love Sonia,Drama,   Love   Sonia Drama  ,533
534,Shamitabh,Drama,   Shamitabh Drama  ,534
535,Junooniyat,Drama|Romance,   Junooniyat Drama   Romance  ,535
536,Ekkees Toppon Ki Salaami,Comedy,   Ekkees   Toppon   Ki   Salaami Comedy  ,536
537,The Shaukeens,Comedy,   The   Shaukeens Comedy  ,537
538,Baby,Action|Thriller,   Baby Action   Thriller  ,538
539,Mr. X,Action|Crime|Sci-Fi,   Mr   X Action   Crime   Sci   Fi  ,539
540,Bazaar E Husn,Drama,   Bazaar   E   Husn Drama  ,540
541,Mohenjo Daro,Action|Adventure|Drama,   Mohenjo   Daro Action   Adventure   Drama  ,541
542,Fuddu,Comedy|Drama,   Fuddu Comedy   Drama  ,542
543,Bajrangi Bhaijaan,Action|Comedy|Drama,   Bajrangi   Bhaijaan Action   Comedy   Drama  ,543
544,Desi Kattey,Action,   Desi   Kattey Action  ,544
545,Life Is Beautiful,Comedy|Romance,   Life   Is   Beautiful Comedy   Romance  ,545
546,Khamoshiyan,Drama|Horror|Romance,   Khamoshiyan Drama   Horror   Romance  ,546
547,Spark,Action,   Spark Action  ,547
548,Second Hand Husband,Comedy,   Second   Hand   Husband Comedy  ,548
549,Shaandaar,Comedy|Drama|Romance,   Shaandaar Comedy   Drama   Romance  ,549
550,Jigariyaa,Drama,   Jigariyaa Drama  ,550
551,Fever,Crime|Mystery,   Fever Crime   Mystery  ,551
552,Welcome 2 Karachi,Action|Comedy|War,   Welcome  2   Karachi Action   Comedy   War  ,552
553,Main Aur Charles,Action|Biography|Crime,   Main   Aur   Charles Action   Biography   Crime  ,553
554,Mumbai Delhi Mumbai,Comedy|Romance,   Mumbai   Delhi   Mumbai Comedy   Romance  ,554
555,Balwinder Singh Famous Ho Gaya,Comedy,   Balwinder   Singh   Famous   Ho   Gaya Comedy  ,555
556,Rainbow,Drama,   Rainbow Drama  ,556
557,Crazy Cukkad Family,Comedy,   Crazy   Cukkad   Family Comedy  ,557
558,MSG: The Messenger of God,Action|Comedy|Drama,   M S G   The   Messenger  of   God Action   Comedy   Drama  ,558
559,Dil Dhadakne Do,Comedy|Drama|Romance,   Dil   Dhadakne   Do Comedy   Drama   Romance  ,559
560,Meeruthiya Gangsters,Comedy|Crime,   Meeruthiya   Gangsters Comedy   Crime  ,560
561,Jagga Jasoos,Action|Adventure|Comedy,   Jagga   Jasoos Action   Adventure   Comedy  ,561
562,M.S. Dhoni: The Untold Story,Biography|Drama|Sport,   M   S   Dhoni   The   Untold   Story Biography   Drama   Sport  ,562
563,Zed Plus,Comedy,   Zed   Plus Comedy  ,563
564,Gollu aur Pappu,Comedy,   Gollu  aur   Pappu Comedy  ,564
565,Zid,Crime|Thriller,   Zid Crime   Thriller  ,565
566,Sanam Re,Drama|Romance,   Sanam   Re Drama   Romance  ,566
567,Alone,Horror,   Alone Horror  ,567
568,Kuch Kuch Locha Hai,Comedy|Drama,   Kuch   Kuch   Locha   Hai Comedy   Drama  ,568
569,Night,Drama|Romance,   Night Drama   Romance  ,569
570,Kis Kisko Pyaar Karoon,Comedy,   Kis   Kisko   Pyaar   Karoon Comedy  ,570
571,G Kutta Se,Drama,   G   Kutta   Se Drama  ,571
572,The Silent Heroes,Adventure|Drama|Family,   The   Silent   Heroes Adventure   Drama   Family  ,572
573,Jazbaa,Action|Crime|Drama,   Jazbaa Action   Crime   Drama  ,573
574,Dolly Ki Doli,Comedy|Romance,   Dolly   Ki   Doli Comedy   Romance  ,574
575,Hunterrr,Comedy|Romance,   Hunterrr Comedy   Romance  ,575
576,Honour Killing,Drama|Romance,   Honour   Killing Drama   Romance  ,576
577,My Birthday Song,Thriller,   My   Birthday   Song Thriller  ,577
578,Hawaizaada,Biography|Drama,   Hawaizaada Biography   Drama  ,578
579,Direct Ishq,Action|Comedy|Romance,   Direct   Ishq Action   Comedy   Romance  ,579
580,Dharam Sankat Mein,Comedy,   Dharam   Sankat   Mein Comedy  ,580
581,Albert Pinto Ko Gussa Kyun Aata Hai?,Drama,   Albert   Pinto   Ko   Gussa   Kyun   Aata   Hai   Drama  ,581
582,Mumbai Can Dance Saalaa,Drama,   Mumbai   Can   Dance   Saalaa Drama  ,582
583,Rough Book,Drama,   Rough   Book Drama  ,583
584,7 Hours to Go,Crime|Thriller,  7   Hours  to   Go Crime   Thriller  ,584
585,Sharafat Gayi Tel Lene,Comedy|Drama|Mystery,   Sharafat   Gayi   Tel   Lene Comedy   Drama   Mystery  ,585
586,Take It Easy,Drama,   Take   It   Easy Drama  ,586
587,31st October,Action|Drama|History,  31st   October Action   Drama   History  ,587
588,Airlift,Drama|History,   Airlift Drama   History  ,588
589,Obsession,Drama|Romance,   Obsession Drama   Romance  ,589
590,Pyaar Ka Punchnama 2,Comedy|Drama|Romance,   Pyaar   Ka   Punchnama  2 Comedy   Drama   Romance  ,590
591,Drishyam,Crime|Drama|Mystery,   Drishyam Crime   Drama   Mystery  ,591
592,Udta Punjab,Action|Crime|Drama,   Udta   Punjab Action   Crime   Drama  ,592
593,Hero,Action|Drama|Musical,   Hero Action   Drama   Musical  ,593
594,Katti Batti,Comedy|Drama|Romance,   Katti   Batti Comedy   Drama   Romance  ,594
595,Flat 211,Crime|Mystery|Thriller,   Flat  211 Crime   Mystery   Thriller  ,595
596,Ek Paheli Leela,Mystery|Romance|Thriller,   Ek   Paheli   Leela Mystery   Romance   Thriller  ,596
597,Dirty Politics,Drama,   Dirty   Politics Drama  ,597
598,Shortcut Safari,Adventure|Drama|Mystery,   Shortcut   Safari Adventure   Drama   Mystery  ,598
599,Badmashiyaan,Comedy|Romance,   Badmashiyaan Comedy   Romance  ,599
600,Hey Bro,Action|Comedy|Drama,   Hey   Bro Action   Comedy   Drama  ,600
601,Gour Hari Dastaan: The Freedom File,Biography|Drama,   Gour   Hari   Dastaan   The   Freedom   File Biography   Drama  ,601
602,Dilwale,Action|Comedy|Romance,   Dilwale Action   Comedy   Romance  ,602
603,Uvaa,Comedy|Drama,   Uvaa Comedy   Drama  ,603
604,Dobaara: See Your Evil,Horror|Mystery,   Dobaara   See   Your   Evil Horror   Mystery  ,604
605,3 Storeys,Drama,  3   Storeys Drama  ,605
606,Barkhaa,Drama|Romance,   Barkhaa Drama   Romance  ,606
607,Ae Dil Hai Mushkil,Drama|Music|Musical,   Ae   Dil   Hai   Mushkil Drama   Music   Musical  ,607
608,Four Pillars of Basement,Action|Mystery|Thriller,   Four   Pillars  of   Basement Action   Mystery   Thriller  ,608
609,Ishq Click,Drama|Romance,   Ishq   Click Drama   Romance  ,609
610,Luv U Alia,Family|Romance,   Luv   U   Alia Family   Romance  ,610
611,Ishq Ke Parindey,Music|Romance,   Ishq   Ke   Parindey Music   Romance  ,611
612,Luckhnowi Ishq,Drama,   Luckhnowi   Ishq Drama  ,612
613,Chalk N Duster,Drama,   Chalk   N   Duster Drama  ,613
614,Ishqedarriyaan,Romance,   Ishqedarriyaan Romance  ,614
615,Masaan,Drama,   Masaan Drama  ,615
616,Sachin,Documentary|Sport,   Sachin Documentary   Sport  ,616
617,Warrior Savitri,Action|Thriller,   Warrior   Savitri Action   Thriller  ,617
618,Wedding Pullav,Comedy|Romance,   Wedding   Pullav Comedy   Romance  ,618
619,Sabki Bajegi Band,Comedy|Drama,   Sabki   Bajegi   Band Comedy   Drama  ,619
620,Rebellious Flower,Biography|Drama,   Rebellious   Flower Biography   Drama  ,620
621,NH-8: Road to Nidhivan,Horror,   N H  8   Road  to   Nidhivan Horror  ,621
622,Great Grand Masti,Comedy|Drama|Fantasy,   Great   Grand   Masti Comedy   Drama   Fantasy  ,622
623,Ghayal Once Again,Action|Drama,   Ghayal   Once   Again Action   Drama  ,623
624,Guddu Rangeela,Comedy|Drama,   Guddu   Rangeela Comedy   Drama  ,624
625,Miss Tanakpur Haazir Ho,Comedy|Crime|Family,   Miss   Tanakpur   Haazir   Ho Comedy   Crime   Family  ,625
626,I Love Desi,Comedy|Romance,   I   Love   Desi Comedy   Romance  ,626
627,Ki & Ka,Comedy|Romance,   Ki   Ka Comedy   Romance  ,627
628,Bezubaan Ishq,Musical|Romance,   Bezubaan   Ishq Musical   Romance  ,628
629,The World It Is,Drama,   The   World   It   Is Drama  ,629
630,Lipstick Under My Burkha,Drama,   Lipstick   Under   My   Burkha Drama  ,630
631,Te3n,Drama|Mystery|Thriller,   Te3n Drama   Mystery   Thriller  ,631
632,Waiting,Drama,   Waiting Drama  ,632
633,Sultan,Action|Drama|Sport,   Sultan Action   Drama   Sport  ,633
634,Shackle,Drama,   Shackle Drama  ,634
635,Guddu Ki Gun,Comedy,   Guddu   Ki   Gun Comedy  ,635
636,Do Lafzon Ki Kahani,Action|Drama|Romance,   Do   Lafzon   Ki   Kahani Action   Drama   Romance  ,636
637,Thoda Lutf Thoda Ishq,Comedy|Romance,   Thoda   Lutf   Thoda   Ishq Comedy   Romance  ,637
638,Baaghi,Action|Thriller,   Baaghi Action   Thriller  ,638
639,Hate Story 3,Drama|Thriller,   Hate   Story  3 Drama   Thriller  ,639
640,Calendar Girls,Drama,   Calendar   Girls Drama  ,640
641,Kapoor & Sons,Comedy|Drama|Romance,   Kapoor   Sons Comedy   Drama   Romance  ,641
642,Azhar,Biography|Drama|Sport,   Azhar Biography   Drama   Sport  ,642
643,Rangoon,Action|Drama|History,   Rangoon Action   Drama   History  ,643
644,YADVI: The Dignified Princess,Biography|Drama|History,   Y A D V I   The   Dignified   Princess Biography   Drama   History  ,644
645,Island City,Drama,   Island   City Drama  ,645
646,MSG 2 the Messenger,Comedy|Drama|Fantasy,   M S G  2  the   Messenger Comedy   Drama   Fantasy  ,646
647,Talvar,Crime|Drama|Mystery,   Talvar Crime   Drama   Mystery  ,647
648,Mirzya,Action|Adventure|Drama,   Mirzya Action   Adventure   Drama  ,648
649,Mohalla Assi,Comedy|Drama,   Mohalla   Assi Comedy   Drama  ,649
650,Bombairiya,Comedy|Crime|Drama,   Bombairiya Comedy   Crime   Drama  ,650
651,Viceroy's House,Biography|Drama|History,   Viceroy  s   House Biography   Drama   History  ,651
652,Jai Gangaajal,Crime|Drama,   Jai   Gangaajal Crime   Drama  ,652
653,Daas Dev,Drama|Thriller,   Daas   Dev Drama   Thriller  ,653
654,Ishq Forever,Romance,   Ishq   Forever Romance  ,654
655,Sorry Daddy,Action,   Sorry   Daddy Action  ,655
656,Bumper Draw,Comedy,   Bumper   Draw Comedy  ,656
657,Nil Battey Sannata,Drama|Family,   Nil   Battey   Sannata Drama   Family  ,657
658,Fraud Saiyaan,Comedy|Drama,   Fraud   Saiyaan Comedy   Drama  ,658
659,Chinar Daastaan-E-Ishq,Romance,   Chinar   Daastaan   E   Ishq Romance  ,659
660,Mantra,Drama|Family,   Mantra Drama   Family  ,660
661,Yaara Silly Silly,Romance,   Yaara   Silly   Silly Romance  ,661
662,Dangal,Action|Biography|Drama,   Dangal Action   Biography   Drama  ,662
663,Befikre,Comedy|Drama|Romance,   Befikre Comedy   Drama   Romance  ,663
664,Sarbjit,Biography|Drama,   Sarbjit Biography   Drama  ,664
665,Aligarh,Biography|Drama,   Aligarh Biography   Drama  ,665
666,Love Shagun,Comedy|Romance,   Love   Shagun Comedy   Romance  ,666
667,Ranbanka,Action,   Ranbanka Action  ,667
668,Force 2,Action|Thriller,   Force  2 Action   Thriller  ,668
669,Rustom,Crime|Drama|Thriller,   Rustom Crime   Drama   Thriller  ,669
670,Baar Baar Dekho,Comedy|Drama|Romance,   Baar   Baar   Dekho Comedy   Drama   Romance  ,670
671,X: Past Is Present,Drama|Mystery|Romance,   X   Past   Is   Present Drama   Mystery   Romance  ,671
672,LoveShhuda,Comedy|Romance,   Love Shhuda Comedy   Romance  ,672
673,Bollywood Diaries,Drama,   Bollywood   Diaries Drama  ,673
674,Beiimaan Love,Drama|Romance|Thriller,   Beiimaan   Love Drama   Romance   Thriller  ,674
675,A Flying Jatt,Action|Adventure|Comedy,   A   Flying   Jatt Action   Adventure   Comedy  ,675
676,Brahman Naman,Comedy,   Brahman   Naman Comedy  ,676
677,Neerja,Biography|Drama|Thriller,   Neerja Biography   Drama   Thriller  ,677
678,Kyaa Kool Hain Hum 3,Comedy,   Kyaa   Kool   Hain   Hum  3 Comedy  ,678
679,Saala Khadoos,Action|Drama|Sport,   Saala   Khadoos Action   Drama   Sport  ,679
680,Tere Bin Laden: Dead Or Alive,Comedy,   Tere   Bin   Laden   Dead   Or   Alive Comedy  ,680
681,Hate Story IV,Crime|Drama|Thriller,   Hate   Story   I V Crime   Drama   Thriller  ,681
682,Moh Maya Money,Crime|Drama|Thriller,   Moh   Maya   Money Crime   Drama   Thriller  ,682
683,Twins 2,Action|Comedy,   Twins  2 Action   Comedy  ,683
684,Murari the Mad Gentleman,Comedy|Drama,   Murari  the   Mad   Gentleman Comedy   Drama  ,684
685,Kaabil,Action|Drama|Thriller,   Kaabil Action   Drama   Thriller  ,685
686,J.D.,Drama,   J   D   Drama  ,686
687,Meri Pyaari Bindu,Comedy|Drama|Romance,   Meri   Pyaari   Bindu Comedy   Drama   Romance  ,687
688,Happy Bhag Jayegi,Comedy|Romance,   Happy   Bhag   Jayegi Comedy   Romance  ,688
689,Manmarziyaan,Romance,   Manmarziyaan Romance  ,689
690,Half Girlfriend,Drama|Romance,   Half   Girlfriend Drama   Romance  ,690
691,Phillauri,Comedy|Drama|Fantasy,   Phillauri Comedy   Drama   Fantasy  ,691
692,Love Games,Thriller,   Love   Games Thriller  ,692
693,Yeh Hai India,Action|Adventure|Drama,   Yeh   Hai   India Action   Adventure   Drama  ,693
694,Raabta,Action|Adventure|Drama,   Raabta Action   Adventure   Drama  ,694
695,Maatr,Thriller,   Maatr Thriller  ,695
696,Sweetiee Weds NRI,Comedy|Drama|Romance,   Sweetiee   Weds   N R I Comedy   Drama   Romance  ,696
697,Pink,Drama|Thriller,   Pink Drama   Thriller  ,697
698,Laal Rang,Action|Crime|Drama,   Laal   Rang Action   Crime   Drama  ,698
699,A Gentleman,Action|Comedy,   A   Gentleman Action   Comedy  ,699
700,Dear Dad,Drama|Family,   Dear   Dad Drama   Family  ,700
701,Qaidi Band,Drama|Music,   Qaidi   Band Drama   Music  ,701
702,Veerappan,Action|Biography|Crime,   Veerappan Action   Biography   Crime  ,702
703,Saat Uchakkey,Comedy,   Saat   Uchakkey Comedy  ,703
704,Wajah Tum Ho,Drama|Mystery|Romance,   Wajah   Tum   Ho Drama   Mystery   Romance  ,704
705,1920 London,Horror|Mystery,  1920   London Horror   Mystery  ,705
706,Raaz Reboot,Horror|Mystery|Romance,   Raaz   Reboot Horror   Mystery   Romance  ,706
707,Raman Raghav 2.0,Crime|Drama|Thriller,   Raman   Raghav  2  0 Crime   Drama   Thriller  ,707
708,Mardaani 2,Action|Drama|Thriller,   Mardaani  2 Action   Drama   Thriller  ,708
709,Mom,Crime|Drama|Thriller,   Mom Crime   Drama   Thriller  ,709
710,Lucknow Central,Action|Drama|Music,   Lucknow   Central Action   Drama   Music  ,710
711,Madaari,Adventure|Drama|Thriller,   Madaari Adventure   Drama   Thriller  ,711
712,Tum Bin 2,Drama|Romance,   Tum   Bin  2 Drama   Romance  ,712
713,Sarkar 3,Action|Crime|Drama,   Sarkar  3 Action   Crime   Drama  ,713
714,Phobia,Drama|Mystery|Thriller,   Phobia Drama   Mystery   Thriller  ,714
715,Julie 2,Drama|Romance,   Julie  2 Drama   Romance  ,715
716,Chef,Comedy|Drama|Family,   Chef Comedy   Drama   Family  ,716
717,Shorgul,Drama,   Shorgul Drama  ,717
718,Hai Apna Dil Toh Awara,Comedy,   Hai   Apna   Dil   Toh   Awara Comedy  ,718
719,Banjo,Action|Drama|Music,   Banjo Action   Drama   Music  ,719
720,Jeena Isi Ka Naam Hai,Drama,   Jeena   Isi   Ka   Naam   Hai Drama  ,720
721,Fredrick,Action|Thriller,   Fredrick Action   Thriller  ,721
722,Okay Darling,Drama|Romance,   Okay   Darling Drama   Romance  ,722
723,Hindi Medium,Comedy|Drama,   Hindi   Medium Comedy   Drama  ,723
724,Noor,Comedy|Drama,   Noor Comedy   Drama  ,724
725,Dil Toh Deewana Hai,Drama|Romance,   Dil   Toh   Deewana   Hai Drama   Romance  ,725
726,Aksar 2,Crime|Drama|Mystery,   Aksar  2 Crime   Drama   Mystery  ,726
727,Begum Jaan,Action|Drama|History,   Begum   Jaan Action   Drama   History  ,727
728,Toilet - Ek Prem Katha,Comedy|Drama,   Toilet   Ek   Prem   Katha Comedy   Drama  ,728
729,Machine,Action|Mystery|Romance,   Machine Action   Mystery   Romance  ,729
730,Tubelight,Drama|War,   Tubelight Drama   War  ,730
731,Aa Gaya Hero,Action,   Aa   Gaya   Hero Action  ,731
732,Days of Tafree,Comedy,   Days  of   Tafree Comedy  ,732
733,Wah Taj,Drama,   Wah   Taj Drama  ,733
734,Saansein: The Last Breath,Horror|Romance,   Saansein   The   Last   Breath Horror   Romance  ,734
735,Padmaavat,Drama|History|Romance,   Padmaavat Drama   History   Romance  ,735
736,Freaky Ali,Comedy|Sport,   Freaky   Ali Comedy   Sport  ,736
737,Dear Zindagi,Drama|Romance,   Dear   Zindagi Drama   Romance  ,737
738,Tiger Zinda Hai,Action|Adventure|Thriller,   Tiger   Zinda   Hai Action   Adventure   Thriller  ,738
739,Thugs of Hindostan,Action|Adventure,   Thugs  of   Hindostan Action   Adventure  ,739
740,Jab Harry Met Sejal,Comedy|Drama|Romance,   Jab   Harry   Met   Sejal Comedy   Drama   Romance  ,740
741,Hotel Salvation,Comedy|Drama,   Hotel   Salvation Comedy   Drama  ,741
742,Evening Shadows,Drama,   Evening   Shadows Drama  ,742
743,Dear Maya,Drama|Romance,   Dear   Maya Drama   Romance  ,743
744,MSG the Warrior: Lion Heart,Adventure|Fantasy|Sci-Fi,   M S G  the   Warrior   Lion   Heart Adventure   Fantasy   Sci   Fi  ,744
745,Tutak Tutak Tutiya,Comedy|Horror,   Tutak   Tutak   Tutiya Comedy   Horror  ,745
746,Dongri Ka Raja,Action|Drama|Romance,   Dongri   Ka   Raja Action   Drama   Romance  ,746
747,Anaarkali of Aarah,Drama,   Anaarkali  of   Aarah Drama  ,747
748,Dil Juunglee,Comedy|Romance,   Dil   Juunglee Comedy   Romance  ,748
749,Soni,Drama,   Soni Drama  ,749
750,Raag Desh,Action|Drama|History,   Raag   Desh Action   Drama   History  ,750
751,Kaalakaandi,Comedy|Thriller,   Kaalakaandi Comedy   Thriller  ,751
752,Secret Superstar,Drama|Music,   Secret   Superstar Drama   Music  ,752
753,Munna Michael,Action|Drama|Music,   Munna   Michael Action   Drama   Music  ,753
754,Anna,Biography,   Anna Biography  ,754
755,Bhavesh Joshi Superhero,Action|Drama,   Bhavesh   Joshi   Superhero Action   Drama  ,755
756,Dark wind,Drama,   Dark  wind Drama  ,756
757,Jack & Dil,Comedy|Family,   Jack   Dil Comedy   Family  ,757
758,Naam Shabana,Action|Thriller,   Naam   Shabana Action   Thriller  ,758
759,Guest iin London,Comedy,   Guest  iin   London Comedy  ,759
760,Gold,Drama|History|Sport,   Gold Drama   History   Sport  ,760
761,Trapped,Action|Drama|Thriller,   Trapped Action   Drama   Thriller  ,761
762,Kesari,Action|Drama|History,   Kesari Action   Drama   History  ,762
763,Bhoomi,Action|Drama,   Bhoomi Action   Drama  ,763
764,Mubarakan,Comedy|Romance,   Mubarakan Comedy   Romance  ,764
765,Vodka Diaries,Mystery|Thriller,   Vodka   Diaries Mystery   Thriller  ,765
